,New model added on 08/08/2025,,,,,,RV Change 03/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RV update,,,,,"20,000 KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX-Code,Models name,Road Tax Jur,Raod Tax Ind.,MSRP,CC Engine,Models,12,24,36,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH3,EQE 350 4MATIC SUV Electric Art -TH3,4400,2200," 4,850,000.01 ",2580,EQE 350 4MATIC SUV Electric Art -TH3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29461222-TH3,EQE 350 4MATIC SUV Electric Art -TH4,4400,2200," 3,190,000.00 ",2580,EQE 350 4MATIC SUV Electric Art -TH4,69%,57%,50%,42%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29662462-THA,EQS 450 4MATIC SUV AMG Dynamic - THA,4400,2200," 5,990,000.00 ",2840,EQS 450 4MATIC SUV AMG Dynamic - THA,68%,56%,49%,42%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29712322-TH5,EQS 450+ AMG Dynamic-TH5,4400,2200," 5,950,000.00 ",2515,EQS 450+ AMG Dynamic-TH5,52%,43%,38%,32%,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29713462-TH1,EQS 500 4MATIC AMG Premium -TH1,4400,2200," 7,200,000.01 ",2615,EQS 500 4MATIC AMG Premium -TH1,35%,29%,25%,21%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29663422-THA,EQS 500 4MATIC SUV AMG Dynamic - THA,4400,2200," 6,950,000.00 ",2840,EQS 500 4MATIC SUV AMG Dynamic - THA,68%,56%,49%,42%,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46531022-THA,G 450 d - THA,14112,6856," 12,200,000.00 ",2989,G 450 d - THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46560022-THB,G 580 with EQ Technology - THB,14880,7240," 9,500,000.00 ",3085,G 580 with EQ Technology - THB,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24778762-TH4,GLA 200 AMG Dynamic -TH4,3196,1398," 2,540,000.01 ",2925,GLA 200 AMG Dynamic -TH4,65%,55%,50%,44%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24778762-TH5,GLA 200 AMG Dynamic -TH5,3196,1398," 2,580,000.01 ",1332,GLA 200 AMG Dynamic -TH5,65%,55%,50%,44%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25460562-TH1,GLC 220 d 4MATIC Avantgarde -TH1,6144,2872," 3,720,000.01 ",1993,GLC 220 d 4MATIC Avantgarde -TH1,70%,59%,53%,46%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331562-TH1,GLC 220 d 4MATIC Coupé AMG Dynamic -TH1,5800,2700," 4,180,000.00 ",1950,GLC 220 d 4MATIC Coupé AMG Dynamic -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25391462-TH2,GLC 220 d AMG Dynamic -TH2,5800,2700," 3,800,000.00 ",1993,GLC 220 d AMG Dynamic -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25391462-TH1,GLC 220 d -TH1,5800,2700," 3,390,000.00 ",1950,GLC 220 d -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25335362-TH1,GLC 300 e 4MATIC Coupe AMG Dynamic -TH1,6128,2864," 4,200,000.01 ",1991,GLC 300 e 4MATIC Coupe AMG Dynamic -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25465662-TH1,GLC 350 e 4MATIC AMG Dynamic -TH1,5800,2700," 4,180,000.00 ",1950,GLC 350 e 4MATIC AMG Dynamic -TH1,65%,55%,50%,44%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
