Class,ModelName,RoadTaxJur,RoadTaxInd,MSRP,CC,RV12,RV24,RV36,RV48,RV60
GLE-Class,GLE 350 de 4MATIC Exclusive(*)(*),5800,2700,4860000,1950,0.67,0.56,0.5,0.44,0.39
GLS-Class,GLS 350 d 4MATIC AMG Premium(*)(*)(*)(*)(*),13600,6600,6699000,2925,0.63,0.52,0.46,0.4,0.35
GLS-Class,GLS 350 d 4MATIC AMG Premium (*)(*)(*)(*)(*)(*),13600,6600,6880000,2925,0.63,0.52,0.46,0.4,0.35
GLS-Class,GLS 350 d 4MATIC AMG Premium -TH1,13600,6600,6880000.01,2925,N/A,N/A,N/A,N/A,N/A
GLS-Class,GLS 450 d 4MATIC AMG Dynamic-TH1,14112,6856,6980000,2925,N/A,N/A,N/A,N/A,N/A
GLA-Class,Mercedes-AMG GLA 35 4MATIC (*),6128,2864,3310000,1991,0.68,0.57,0.51,0.45,0.4
GLA-Class,Mercedes-AMG GLA 35 4MATIC (*)(*),6128,2864,3380000,1991,0.68,0.57,0.51,0.45,0.4
GLC-Class,Mercedes-AMG GLC 43 4MATIC Coupe (CKD)(*)(*)(*),14168,6884,4999000,2996,0.67,0.56,0.5,0.43,0.38
GLC-Class,Mercedes-AMG GLC 43 4MATIC Coupe (CKD)(*)(*)(*)(*),14168,6884,5100000,2996,0.67,0.56,0.5,0.43,0.38
GLC-Class,Mercedes-AMG GLC 43 4MATIC Coupe(*),14168,6884,5180000,2996,0.67,0.56,0.5,0.43,0.38
GLE-Class,Mercedes-AMG GLE 53 4MATIC+(*),14192,6896,6099000,2999,0.67,0.56,0.5,0.44,0.39
GLE-Class,Mercedes-AMG GLE 53 4MATIC+(*)(*),14192,6896,6220000,2999,0.67,0.56,0.5,0.44,0.39
GLE-Class,Mercedes-AMG GLE 53 Hybrid 4MATIC+ - THA,14192,6896,5850000,2999,0.72,0.61,0.55,0.48,0.43
C-Class,Mercedes-AMG C 43 4 MATIC Coupe (CKD) (*),14168,6884,4220000,2996,N/A,N/A,N/A,N/A,N/A
C-Class,Mercedes-AMG C 43 4 MATIC Coupe (CKD) (*)(*),14168,6884,4299000,2996,N/A,N/A,N/A,N/A,N/A
C-Class,Mercedes-AMG C 43 4MATIC Coupé Special EDITION      ,14168,6884,4490000,2996,N/A,N/A,N/A,N/A,N/A
C-Class,Mercedes-AMG C 43 4MATIC Coupe Special EDITION_PG1,14168,6884,4590000,2996,N/A,N/A,N/A,N/A,N/A
C-Class,Mercedes-AMG C 43 4 MATIC Sedan(*),14168,6884,4099000,2996,N/A,N/A,N/A,N/A,N/A
CLA-Class,Mercedes-AMG CLA 35 4MATIC,6128,2864,3999000,1991,N/A,N/A,N/A,N/A,N/A
CLA-Class,Mercedes-AMG CLA 35 4MATIC_PG1,6128,2864,4079000,1991,N/A,N/A,N/A,N/A,N/A
CLA-Class,Mercedes-AMG CLA 35 4MATIC (*),6128,2864,4129000,1991,N/A,N/A,N/A,N/A,N/A
CLA-Class,Mercedes-AMG CLA 45 S 4MATIC + Coupe,6128,2864,4999000,1991,N/A,N/A,N/A,N/A,N/A
CLA-Class,Mercedes-AMG CLA 45 S 4MATIC+ (*),6128,2864,5169000,1991,N/A,N/A,N/A,N/A,N/A
CLS-Class,Mercedes-AMG CLS 53 4MATIC+FL(*),14192,6896,5720000,2999,0.64,0.54,0.49,0.43,0.38
CLS-Class,Mercedes-AMG CLS 53 4MATIC+ FL (*)(*),14192,6896,5880000,2999,0.64,0.54,0.49,0.43,0.38
CLS-Class,Mercedes-AMG CLS 53 4MATIC+MMC,14192,6896,5380000,2999,0.64,0.54,0.49,0.43,0.38
CLS-Class,Mercedes-AMG CLS 53 4MATIC+MMC(*),14192,6896,5399000,2999,0.64,0.54,0.49,0.43,0.38
E-Class,Mercedes-AMG E 53 4MATIC+ Coupe,14192,6896,6990000,2999,N/A,N/A,N/A,N/A,N/A
