Entity,Order,CustomerType,Financial Product Type Short Name,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,MBM Rating,Tier,PD,PD_MoC
THA-FS,206,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,2.9,,0.0056801883974767,0.0056843927378371
THA-FS,207,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"3, 3.0",,0.0059498581261195,0.0059542613849582
THA-FS,208,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.1,,0.0064150660356467,0.0064198099021739
THA-FS,209,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.2,,0.0068802739451739,0.0068853584193896
THA-FS,210,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.3,,0.0073454818547011,0.0073509069366053
THA-FS,211,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.4,,0.0078106897642283,0.007816455453821
THA-FS,212,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.5,,0.0082758976737555,0.0082820039710368
THA-FS,213,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.6,,0.0087411055832827,0.0087475524882525
THA-FS,214,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.7,,0.00920631349281,0.0092131010054682
THA-FS,215,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.8,,0.0096715214023372,0.0096786495226839
THA-FS,216,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,3.9,,0.0101367293118644,0.0101441980398996
THA-FS,217,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"4, 4.0",,0.0106019372213916,0.0106097465571153
THA-FS,218,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.1,,0.0113469554723934,0.011355303564901
THA-FS,219,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.2,,0.0120919737233952,0.0121008605726868
THA-FS,220,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.3,,0.012836991974397,0.0128464175804725
THA-FS,221,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.4,,0.0135820102253988,0.0135919745882582
THA-FS,222,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.5,,0.0143270284764006,0.014337531596044
THA-FS,223,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.6,,0.015072046727402401,0.0150830886038297
THA-FS,224,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.7,,0.0158170649784042,0.0158286456116154
THA-FS,225,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.8,,0.016562083229406,0.0165742026194011
THA-FS,226,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,4.9,,0.0173071014804078,0.0173197596271869
THA-FS,227,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"5, 5.0",,0.0180521197314096,0.0180653166349726
THA-FS,228,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.1,,0.0194886602393266,0.0195028726230669
THA-FS,229,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.2,,0.0209252007472436,0.0209404286111611
THA-FS,230,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.3,,0.0223617412551606,0.0223779845992554
THA-FS,231,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.4,,0.0237982817630776,0.0238155405873497
THA-FS,232,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.5,,0.0252348222709946,0.025253096575444
THA-FS,233,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.6,,0.0266713627789116,0.0266906525635382
THA-FS,234,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.7,,0.0281079032868286,0.0281282085516325
THA-FS,235,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.8,,0.0295444437947456,0.0295657645397268
THA-FS,236,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,5.9,,0.0309809843026626,0.031003320527821
THA-FS,237,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"6, 6.0",,0.0324175248105796,0.0324408765159153
THA-FS,238,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.1,,0.0297149553216839,0.0297363711090383
THA-FS,239,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.2,,0.0270123858327882,0.0270318657021612
THA-FS,240,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.3,,0.0243098163438926,0.0243273602952842
THA-FS,241,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.4,,0.0216072468549969,0.0216228548884072
THA-FS,242,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.5,,0.0189046773661012,0.0189183494815302
THA-FS,243,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.6,,0.0162021078772056,0.0162138440746532
THA-FS,244,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.7,,0.0134995383883099,0.0135093386677761
THA-FS,245,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.8,,0.0107969688994142,0.0108048332608991
THA-FS,246,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,6.9,,0.0080943994105185,0.0081003278540221
THA-FS,247,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"7, 7.0",,0.0053918299216228,0.005395822447145
THA-FS,248,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.1,,0.0128742613172501,0.0128833472521035
THA-FS,249,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.2,,0.0203566927128775,0.0203708720570619
THA-FS,250,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.3,,0.0278391241085048,0.0278583968620203
THA-FS,251,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.4,,0.0353215555041321,0.0353459216669788
THA-FS,252,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.5,,0.0428039868997594,0.0428334464719372
THA-FS,253,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.6,,0.0502864182953867,0.0503209712768956
THA-FS,254,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.7,,0.057768849691014,0.0578084960818541
THA-FS,255,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.8,,0.06525128108664,0.06529602088681
THA-FS,256,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,7.9,,0.07273371248226,0.07278354569177
THA-FS,257,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"8, 8.0",,0.08021614387789,0.08027107049672
THA-FS,258,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.1,,0.08021614387789,0.08027107049672
THA-FS,259,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.2,,0.08021614387789,0.08027107049672
THA-FS,260,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.3,,0.08021614387789,0.08027107049672
THA-FS,261,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.4,,0.08021614387789,0.08027107049672
THA-FS,262,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.5,,0.08021614387789,0.08027107049672
THA-FS,263,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,8.6,,0.08021614387789,0.08027107049672
