Entity,Order,CustomerType,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,DFS Rating,Tier,Value
THA-FS,50,DEALER,,,,,,,Y,,5.9,,0.01624
THA-FS,51,DEALER,,,,,,,Y,,"6, 6.0",,0.0166
THA-FS,52,DEALER,,,,,,,Y,,6.1,,0.01709
THA-FS,53,DEALER,,,,,,,Y,,6.2,,0.01758
THA-FS,54,DEALER,,,,,,,Y,,6.3,,0.01807
THA-FS,55,DEALER,,,,,,,Y,,6.4,,0.01856
THA-FS,56,DEALER,,,,,,,Y,,6.5,,0.01905
THA-FS,57,DEALER,,,,,,,Y,,6.6,,0.01954
THA-FS,58,DEALER,,,,,,,Y,,6.7,,0.02003
THA-FS,59,DEALER,,,,,,,Y,,6.8,,0.02052
THA-FS,60,DEALER,,,,,,,Y,,6.9,,0.02101
THA-FS,61,DEALER,,,,,,,Y,,"7, 7.0",,0.0215
THA-FS,62,DEALER,,,,,,,Y,,7.1,,0.02212
THA-FS,63,DEALER,,,,,,,Y,,7.2,,0.02274
THA-FS,64,DEALER,,,,,,,Y,,7.3,,0.02336
THA-FS,65,DEALER,,,,,,,Y,,7.4,,0.02398
THA-FS,66,DEALER,,,,,,,Y,,7.5,,0.0246
THA-FS,67,DEALER,,,,,,,Y,,7.6,,0.02522
THA-FS,68,DEALER,,,,,,,Y,,7.7,,0.02584
THA-FS,69,DEALER,,,,,,,Y,,7.8,,0.02646
THA-FS,70,DEALER,,,,,,,Y,,7.9,,0.02708
THA-FS,71,DEALER,,,,,,,Y,,"8, 8.0",,0.0277
THA-FS,72,DEALER,,,,,,,Y,,8.1,,0.02914
THA-FS,73,DEALER,,,,,,,Y,,8.2,,0.03058
THA-FS,74,DEALER,,,,,,,Y,,8.3,,0.03202
THA-FS,75,DEALER,,,,,,,Y,,8.4,,0.03346
THA-FS,76,DEALER,,,,,,,Y,,8.5,,0.0349
THA-FS,77,DEALER,,,,,,,Y,,8.6,,0.03634
THA-FS,78,DEALER,,,,,,,Y,,8.7,,0.03778
THA-FS,79,DEALER,,,,,,,Y,,8.8,,0.03922
